id,uid,standard
,U202311539,b
,U202311548,c
,U202311546,c
,U202311552,c
,U202311563,b
,U202311583,c
,U202311562,b
,U202311538,b
,U202311567,a
,U202311551,c
,U202311576,b
,U202311561,c
,U202311574,b
,U202311541,b
,U202311593,a
,U202311557,a
,U202311572,b
,U202311591,a
