id,uid,standard
,U202311547,b
,U202311546,c
,U202311540,c
,U202211487,c
,U202311583,b
,U202311539,b
,U202311561,c
,U202311553,b
,U202311571,a
,U202311593,a
,U202311570,b
,U202311564,c
,U202311558,b
,U202311543,b
,U202311568,c
,U202311563,b
,U202311595,a
