id,uid,standard
,U202311539,b
,U202311548,b
,U202311565,b
,U202311555,b
,U202311564,c
,U202311547,c
,U202311563,c
,U202311587,c
,U202311575,c
,U202311554,c
,U202311556,a
,U202311579,c
