id,uid,standard
,U202311567,a
,U202311539,c
,U202311540,b
,U202311594,b
,U202311548,c
,U202311585,a
,U202311556,a
,U202311584,c
,U202311593,a
,U202311555,b
,U202311571,a
,U202311543,c
,U202311590,b
,U202311557,a
,U202311576,a
,U202311572,a
,U202311595,a
,U202311563,b
,U202311591,a
