id,uid,standard
,U202311553,c
,U202311540,b
,U202311539,c
,U202311557,a
,U202311555,b
,U202311548,b
,U202311590,b
,U202311554,b
,U202311543,b
,U202311549,c
,U202311567,a
,U202311593,a
